Geographic region,Gender Equality Index,Work,Money,Knowledge,Time,Power,Health
Austria,68,76.8,87.7,64.3,61.2,48.2,91.9
Belgium,72.7,74.9,89.9,70.8,65.3,61,86.3
Bulgaria,59.9,69.6,64.5,55.2,42.7,60.2,77.2
Cyprus,57,70.6,82.6,56,51.3,30,87.9
Czechia,56.7,67.4,78.9,58.5,57.3,28.1,86.3
Germany,68.6,72.4,86,54.7,65,62.8,90.7
Denmark,77.8,79.4,89.1,71,83.1,66.8,89.5
Estonia,61.6,72.5,73.2,57.3,74.7,36.6,82.2
Greece,52.5,65.3,73.7,54.9,44.7,27,84.3
Spain,73.7,73.7,78.4,67.9,64,76.9,90.3
European Union,68,71.6,82.4,62.7,64.9,55,87.8
Finland,75.3,75.5,87.9,61.9,77.4,74.3,89.5
France,75.5,73.2,86.3,67,67.3,81.4,87.4
Croatia,59.2,70.1,74,51.8,51,45.3,83.8
Hungary,53.4,68,73.3,57.2,54.3,22.9,86.7
Ireland,73.1,76.5,87.8,67.4,74.2,58.4,91.3
Italy,63.8,63.7,79.4,59,59.3,52.2,88.4
Lithuania,58.4,74.2,69.9,56.1,50.6,39.3,80.3
Luxembourg,72.4,76.3,92.4,70.8,69.1,53.4,89.9
Latvia,62.1,74.3,68.7,50.9,65.8,50.4,79.3
Malta,65,76.8,84.2,65.2,64.2,37.5,92.3
Netherlands,75.9,78.3,87,67.4,83.9,64,90.2
Poland,56.6,67.2,76.7,57.6,52.5,31.5,83.3
Portugal,62.2,73.2,73.6,56.5,47.5,53.6,84.8
Romania,54.5,67.5,69.1,52.8,50.3,34.7,71.3
Sweden,83.9,83.1,85.4,75.2,90.1,84.5,94.6
Slovenia,67.6,73,83.7,56.6,72.9,53,87.8
Slovakia,56,66.8,75.1,61.6,46.3,30.7,85.5
