Geographic region,Gender Equality Index,Work,Money,Knowledge,Time,Power,Health
Austria,58.7,75.3,82.8,58.9,56,28.4,91.1
Belgium,69.3,72.7,85.5,70.6,70.3,47.9,86.5
Bulgaria,55,67.9,60.8,50.4,43.9,45.8,75.3
Cyprus,49,70.5,80.7,55.5,45.9,15.4,86.4
Czechia,55.6,64.9,73.8,55.4,53.8,31,85.7
Germany,62.6,70,83.2,56.3,69.8,38.3,89.3
Denmark,75.2,79.8,83.6,73.2,80.4,58,90.3
Estonia,53.4,71.2,65.5,51.6,73.7,21.9,82.7
Greece,48.6,63.6,75.3,53.4,35.6,22.3,84.3
Spain,66.4,71.8,77.1,63.5,60.8,52.6,88.6
European Union,63.1,69.7,79.1,59.8,65.2,41.9,86.7
Finland,73.1,74.5,84.1,58.6,80.1,69.1,89.5
France,67.5,71.5,83.5,62,66.6,52.4,86.7
Croatia,52.3,67.2,68.6,49.9,49.8,28.4,81.5
Hungary,52.4,66,70.8,54.5,54.1,23.5,85.4
Ireland,65.4,73.5,85.5,65.3,70.8,37.2,90.7
Italy,53.3,61.3,78.9,53.8,55.1,25.2,86.3
Lithuania,54.9,72.6,60.8,54.3,52.2,32.9,80.4
Luxembourg,61.2,70.9,91.8,66.3,70.2,25.6,89.8
Latvia,55.2,72.6,58.9,49.2,62,34.8,77.3
Malta,54.4,65.1,79.2,65.4,54.3,20.9,90.6
Netherlands,74,76.3,86.6,66.9,85.9,56.9,90.3
Poland,55.5,66.3,69.5,57.8,54.2,30.6,81.6
Portugal,53.7,71.4,71.8,50.1,38.7,34.9,84.3
Romania,50.8,67.9,59.8,47.2,50.6,30.8,69.9
Sweden,80.1,80.4,85.3,70.7,84.5,77.8,93.2
Slovenia,62.7,71.9,80.3,55,68.3,41.1,86.8
Slovakia,53,64.8,70.2,59.5,39.9,29.5,84.8
